basin_id,gauge_id,gauge_name,gauge_country,gauge_provider,river,lon_snap,lat_snap,lon,lat,elevation,area_official,area_estreams,area_flag,area_rel,start_date,end_date,num_years,num_months,num_days,num_continuous_days,num_days_gaps,num_days_reliable,num_days_noflag,num_days_suspect,gauge_flag,duplicated_suspect,watershed_group,gauges_upstream,nested_catchments
ES000212,2113,STA. EULALIA DE RIONEGRO           ,ES,ES_CEDEX,,-6.26674604,42.0362255,-6.266746041967846,42.03622550483939,820,391.0,376.431,0,3.726086956521744,2001-07-17,2019-09-30,19,219,6650,6650,0.0,0.0,6650.0,0.0,B,,539,1,['ES000212']
CH000246,4017,Rainpadent,CH,CH_CAMELS,Wolfegger_Aach,9.64,47.83,9.64,47.83,453,164.1,164.059,0,0.0249847653869572,1981-08-01,2019-05-13,39,454,13800,13800,0.0,0.0,13800.0,0.0,B,,1,2,"['CH000246', 'DEBW0173']"
DEHE1013,42881552,treysa,DE,DE_HE,Schwalm,9.194857906504785,50.91419276204167,9.194857906504785,50.91419276204167,206.35,546.01,549.784,0,-0.6911961319389757,1996-01-01,2023-11-01,28,327,9906,5479,261.0,0.0,9906.0,0.0,B,,65,8,"['DEHE0904', 'DEHE0905', 'DEHE0945', 'DEHE0955', 'DEHE1000', 'DEHE1002', 'DEHE1008', 'DEHE1013']"
DK000188,36000061, SKODBORGHUS BRO,DK,DK_ODA,KONGE Å,9.136291493,55.44320427,9.136291493220494,55.44320427623814,,267.115,270.556,0,-1.288209198285373,2016-12-02,2021-12-31,6,61,1856,1856,0.0,1856.0,0.0,0.0,A,,254,13,"['DK000146', 'DK000159', 'DK000163', 'DK000164', 'DK000167', 'DK000168', 'DK000172', 'DK000173', 'DK000188', 'DK000199', 'DK000203', 'DK000251', 'DK001003']"
CZ000478,437600,Jevišovice nad nádrží,CZ,CZ_CHMU,Jevišovka,15.9539787233108,48.9883650928766,15.9539787233108,48.9883650928766,,126.7,126.7,0,0.0,1992-11-01,2021-12-31,30,350,10653,10653,0.0,0.0,10653.0,0.0,B,,2,1,['CZ000478']
DEBB0126,5897800,"Stolpe, Pegel 9, Speicherbecken OP",DE,DE_BB,Klempnitz,12.43778687339801,52.96836927391654,12.43778687339801,52.96836927391654,,45.8776666,122.383,3,-166.7594258161334,1986-11-01,2023-09-24,38,443,13477,13477,0.0,0.0,13477.0,0.0,B,,52,1,['DEBB0126']
ES000439,9129,TRANQUERA - C.E.                   ,ES,ES_CEDEX,,-1.77850955,41.20712035,-1.778509555197951,41.20712035963274,695,87.0,79.709,0,8.380459770114939,1972-10-01,2019-09-30,48,563,16967,7459,199.0,0.0,16967.0,0.0,B,,540,1,['ES000439']
FR003688,I121311001,L'Yvie Ã  Saint-Hymer,FR,FR_EAUFRANCE,L'Yvie à Saint-Hymer,0.170962,49.264433,0.170962,49.264433,28,41.0,43.105,0,-5.134146341463406,1970-08-01,1977-10-23,8,87,2641,2641,0.0,2641.0,0.0,0.0,A,,699,1,['FR003688']
GB000161,28043,Derwent at Chatsworth,GB,GB_NRFA,Derwent at Chatsworth,-1.61,53.21,-1.61,53.21,99,344.34,344.585,0,-0.0711506069582402,1968-11-01,2021-09-30,54,635,19327,19327,0.0,0.0,19327.0,0.0,B,,971,2,"['GB000146', 'GB000161']"
FR004755,W010000101,L'IsÃ¨re Ã  Landry,FR,FR_EAUFRANCE,L'Isère à Landry,6.733619,45.576703,6.733619,45.576703,,703.0,702.621,0,0.0539118065433882,2015-04-03,2023-09-30,9,102,3100,3084,3.0,3081.0,0.0,19.0,A,,27,3,"['FR004753', 'FR004754', 'FR004755']"
FR000240,D015652001,D0156520,FR,FR_EAUFRANCE,L'Helpe Majeure à Taisnières-en-Thiérache,3.816597,50.148611,3.816597,50.148611,136,320.0,320.815,0,-0.2546874999999993,1962-01-01,2023-09-30,62,722,21879,8123,674.0,19743.0,638.0,1498.0,C,,13,4,"['FR000241', 'FR000242', 'FR003341', 'FR000240']"
DEBY0454,18806406,Rottal-Inn,DE,DE_BY,Rott,13.0726973124494,48.43583081961243,13.0726973124494,48.43583081961243,346.95,860.0,859.424,0,0.066976744186049,1930-11-01,2023-08-19,94,1072,31891,31002,2004.0,0.0,31891.0,0.0,C,,2,8,"['DEBY0454', 'DEBY0490', 'DEBY0602', 'DEBY0603', 'DEBY0637', 'DEBY0707', 'DEBY0728', 'DEBY0830']"
DK000584,16000156, AFLØB HOLMGÅRD SØ,DK,DK_ODA,HELLEGÅRD Å,8.750419823,56.42376456,8.750419823452766,56.42376456914676,,16.41885,17.25,0,-5.062169396760437,1990-01-01,1990-12-31,1,12,365,365,0.0,365.0,0.0,0.0,A,,359,2,"['DK000635', 'DK000584']"
GB000251,37009,Brain at Guithavon Valley,GB,GB_NRFA,Brain at Guithavon Valley,0.63,51.8,0.63,51.8,16.2,60.27,60.268,0,0.0033184005309481,1962-06-01,2021-09-30,60,712,21672,21672,0.0,0.0,21672.0,0.0,B,,1014,1,['GB000251']
FR002992,Y511502002,Y5115020,FR,FR_EAUFRANCE,La Bresque à Salernes [Les Vingalières],6.231291,43.562732,6.231291,43.562732,206,167.52,165.46,0,1.2297039159503356,1997-02-05,2023-09-30,27,312,9080,2226,654.0,8904.0,61.0,115.0,C,,766,1,['FR002992']
DK000960,21000040, ST 2,DK,DK_ODA,NIMDRUP BÆK,9.542637651,56.00907987,9.542637651925444,56.00907987811585,,31.02319,31.779,0,-2.436274283850244,1994-12-09,2022-12-31,29,337,10250,10250,0.0,10250.0,0.0,0.0,A,,225,2,"['DK000434', 'DK000960']"
FR004039,M310301001,La Varenne Ã  Domfront,FR,FR_EAUFRANCE,La Varenne à Domfront,-0.66198,48.587682,-0.66198,48.587682,125,201.3,202.447,0,-0.5697963238946802,1980-10-02,2023-09-30,44,516,15704,15704,0.0,15504.0,0.0,200.0,A,,732,2,"['FR001372', 'FR004039']"
CZ000402,359000,Chornice,CZ,CZ_CHMU,Jevíčka,16.7496524275316,49.664437204801,16.7496524275316,49.664437204801,,179.73,179.73,0,0.0,1980-11-01,2021-12-31,42,494,15036,15036,0.0,0.0,15036.0,0.0,B,,2,2,"['CZ000401', 'CZ000402']"
CZ000503,455200,Holštejn,CZ,CZ_CHMU,Bílá voda,16.7794087313228,49.4032861877235,16.7794087313228,49.4032861877235,,57.67,57.67,0,0.0,1980-11-01,2021-12-31,41,482,14670,9922,366.0,0.0,14670.0,0.0,B,,2,1,['CZ000503']
CH000049,2151,Oberwil,CH,CH_CAMELS,Simme,7.44,46.66,7.44,46.66,792,343.7,343.76,0,-0.0174570846668612,1981-01-01,2020-12-31,40,480,14610,14610,0.0,0.0,14610.0,0.0,B,,1,2,"['CH000073', 'CH000049']"
DENI1930,3863101,Neuburlage,DE,DE_NI,Ems,7.561476028454598,53.04395779993659,7.561476028454597,53.04395779993659,0,62.0,22.758,3,63.29354838709678,1980-11-01,2017-12-31,38,446,13575,13575,0.0,0.0,13575.0,0.0,B,,215,1,['DENI1930']
CZ000200,187500,Hrádek,CZ,CZ_CHMU,Klabava,13.6622281675684,49.7141942143425,13.6622281675684,49.7141942143425,,158.12,158.12,0,0.0,2001-11-01,2021-12-31,20,222,6757,6484,609.0,0.0,6757.0,0.0,C,,3,1,['CZ000200']
GB000325,40004,Rother at Udiam,GB,GB_NRFA,Rother at Udiam,0.52,50.99,0.52,50.99,2.1,204.64,204.657,0,-0.0083072713057194,1962-10-01,2021-09-30,60,690,20838,10131,712.0,0.0,20838.0,0.0,B,,1030,2,"['GB000325', 'GB000335']"
FR004419,Q241431301,La Gouaneyre Ã  Cachen,FR,FR_EAUFRANCE,La Gouaneyre à Cachen,-0.437751,44.075643,-0.437751,44.075643,70,86.0,85.113,0,1.0313953488372098,2002-04-04,2009-01-20,8,82,2484,2484,0.0,2410.0,0.0,74.0,A,"['FR002019', 'FR002020']",741,2,"['FR004419', 'FR002019', 'FR002020']"
GB000395,45012,Creedy at Cowley,GB,GB_NRFA,Creedy at Cowley,-3.56,50.76,-3.56,50.76,14.2,263.63,263.739,0,-0.0413458255888861,1964-03-23,2021-09-30,58,690,20899,10387,112.0,0.0,20899.0,0.0,B,,1064,1,['GB000395']
FR000167,A742000401,A7434930,FR,FR_EAUFRANCE,Le ruisseau de Montvaux à Moulins-lès-Metz,6.108067,49.104213,6.108067,49.104213,168,26.0,25.799,0,0.773076923076925,1979-03-22,1981-11-24,3,33,956,825,23.0,626.0,0.0,330.0,C,,1,3,"['FR000165', 'FR000166', 'FR000167']"
CZ000352,301700,VD Těrlicko,CZ,CZ_CHMU,Stonávka,18.5233670196113,49.7775816808041,18.5233670196113,49.7775816808041,,84.05,84.05,0,0.0,1980-11-01,2020-12-31,41,482,14671,14671,0.0,0.0,14671.0,0.0,B,,43,2,"['CZ000351', 'CZ000352']"
FR002376,V131502001,V1315020,FR,FR_EAUFRANCE,La Leysse à la Motte-Servolex [Pont du Tremblay],5.873078,45.628179,5.873078,45.628179,237,280.0,271.369,0,3.08249999999999,1969-01-01,2023-09-30,41,479,14497,10097,5499.0,12491.0,0.0,2006.0,E,,27,9,"['FR004648', 'FR002377', 'FR002378', 'FR002379', 'FR002380', 'FR002381', 'FR002383', 'FR002384', 'FR002376']"
DENW1043,2783390000100,Bentfeld,DE,DE_NW,Lippe,8.630529149435224,51.74890596262319,8.630529149435224,51.74890596262319,"88,95",1049.8,1057.873,0,-0.7690036197371016,1968-01-07,2021-12-10,54,648,19502,19029,195.0,0.0,19502.0,0.0,B,,1,19,"['DENW1028', 'DENW1057', 'DENW1061', 'DENW1113', 'DENW1140', 'DENW1160', 'DENW1188', 'DENW1193', 'DENW1194', 'DENW1195', 'DENW1197', 'DENW1201', 'DENW1205', 'DENW1216', 'DENW1217', 'DENW1237', 'DENW1246', 'DENW1280', 'DENW1043']"
AT000005,200097,Buers (Bruecke L82),AT,AT_EHYD,Alvier,9.802668269,47.15077039,9.802668269683238,47.15077039253907,564,72.2,72.448,0,-0.343490304709128,1990-01-01,2019-12-31,30,360,10957,10957,0.0,0.0,10957.0,0.0,B,['CH000214'],1,3,"['AT000005', 'CH000214']"
DK000335,21000794, VEJRUMBRO,DK,DK_ODA,NØRRE Å,9.550940486,56.43590085,9.550940486159282,56.4359008550788,,230.1278,220.695,0,4.098939806490139,1918-01-01,2021-12-31,90,1080,32872,17532,5114.0,32872.0,0.0,0.0,D,,225,21,"['DK000179', 'DK000321', 'DK000322', 'DK000323', 'DK000324', 'DK000325', 'DK000327', 'DK000328', 'DK000329', 'DK000330', 'DK000331', 'DK000333', 'DK000334', 'DK000335', 'DK000336', 'DK000337', 'DK000338', 'DK000339', 'DK000478', 'DK000515', 'DK000751']"
FR002808,Y047403001,Y0474030,FR,FR_EAUFRANCE,La Têt [partielle] à Perpignan [Pont-Joffre],2.892829,42.703619,2.892829,42.703619,23,1300.0,1373.627,0,-5.6636153846153805,1970-01-27,2023-09-30,54,632,19174,13709,431.0,18025.0,0.0,1149.0,C,,749,33,"['FR004825', 'FR004826', 'FR004827', 'FR004828', 'FR004829', 'FR004830', 'FR004831', 'FR004832', 'FR004833', 'FR004835', 'FR002764', 'FR002791', 'FR002792', 'FR002793', 'FR002794', 'FR002795', 'FR002796', 'FR002797', 'FR002798', 'FR002799', 'FR002800', 'FR002801', 'FR002802', 'FR002803', 'FR002804', 'FR002805', 'FR002806', 'FR002808', 'FR002809', 'FR002810', 'FR002811', 'FR002812', 'FR002813']"
FR004587,U263501001,La Furieuse Ã  Salins-les-Bains,FR,FR_EAUFRANCE,La Furieuse à Salins-les-Bains,5.878123,46.942447,5.878123,46.942447,330,41.0,41.0,0,0.0,1981-03-06,2023-09-30,43,511,15519,6274,30.0,14255.0,0.0,1264.0,C,,27,1,['FR004587']
DENW1229,3229000000100,Rieth,DE,DE_NW,Umlaufbach,7.712184204405644,51.78153586688454,7.712184204405645,51.78153586688452,"62,66",27.85,26.53,0,4.739676840215441,1989-01-11,2007-12-31,19,228,6635,6595,294.0,0.0,6635.0,0.0,B,,73,1,['DENW1229']
