,basin_id,P,T,evap,Q
757,DEBY0444,0,0,0,0
758,DEBY0445,0,0,0,0
759,DEBY0447,0,0,0,1
760,DEBY0448,0,0,0,0
761,DEBY0449,0,0,0,0
762,DEBY0451,0,0,0,0
763,DEBY0454,0,0,0,2
764,DEBY0457,0,0,0,0
765,DEBY0458,0,0,0,0
766,DEBY0460,0,0,0,0
767,DEBY0461,0,0,0,0
768,DEBY0465,0,0,0,0
769,DEBY0466,0,0,0,0
770,DEBY0467,0,0,0,0
771,DEBY0472,0,0,0,0
772,DEBY0473,0,0,0,5
773,DEBY0474,0,0,0,0
774,DEBY0475,0,0,0,0
775,DEBY0476,0,0,0,0
776,DEBY0478,0,0,0,0
777,DEBY0479,0,0,0,0
778,DEBY0481,0,0,0,0
779,DEBY0485,0,0,0,0
780,DEBY0487,0,0,0,0
781,DEBY0488,0,0,0,0
782,DEBY0490,0,0,0,0
783,DEBY0491,0,0,0,0
784,DEBY0493,0,0,0,0
785,DEBY0494,0,0,0,0
786,DEBY0495,0,0,0,0
787,DEBY0497,0,0,0,0
788,DEBY0498,0,0,0,0
789,DEBY0500,0,0,0,0
790,DEBY0510,0,0,0,0
791,DEBY0511,0,0,0,0
792,DEBY0514,0,0,0,0
793,DEBY0515,0,0,0,0
794,DEBY0516,0,0,0,122
795,DEBY0520,0,0,0,13
796,DEBY0523,0,0,0,0
797,DEBY0526,0,0,0,3
798,DEBY0529,0,0,0,0
799,DEBY0532,0,0,0,0
800,DEBY0534,0,0,0,0
801,DEBY0536,0,0,0,0
802,DEBY0537,0,0,0,4
803,DEBY0539,0,0,0,0
804,DEBY0541,0,0,0,64
805,DEBY0542,0,0,0,0
806,DEBY0545,0,0,0,0
807,DEBY0546,0,0,0,0
808,DEBY0547,0,0,0,0
809,DEBY0549,0,0,0,0
810,DEBY0550,0,0,0,0
811,DEBY0554,0,0,0,0
812,DEBY0556,0,0,0,0
813,DEBY0557,0,0,0,0
814,DEBY0558,0,0,0,0
815,DEBY0560,0,0,0,0
816,DEBY0562,0,0,0,0
817,DEBY0563,0,0,0,2
818,DEBY0566,0,0,0,0
819,DEBY0567,0,0,0,0
820,DEBY0569,0,0,0,0
821,DEBY0570,0,0,0,0
822,DEBY0572,0,0,0,54
823,DEBY0578,0,0,0,0
824,DEBY0580,0,0,0,1
825,DEBY0582,0,0,0,0
826,DEBY0583,0,0,0,32
827,DEBY0584,0,0,0,0
828,DEBY0585,0,0,0,0
829,DEBY0586,0,0,0,0
830,DEBY0589,0,0,0,0
831,DEBY0596,0,0,0,0
832,DEBY0602,0,0,0,0
833,DEBY0603,0,0,0,0
834,DEBY0606,0,0,0,0
835,DEBY0607,0,0,0,0
836,DEBY0608,0,0,0,0
837,DEBY0612,0,0,0,0
838,DEBY0616,0,0,0,0
839,DEBY0620,0,0,0,0
840,DEBY0622,0,0,0,0
841,DEBY0623,0,0,0,0
842,DEBY0624,0,0,0,0
843,DEBY0626,0,0,0,0
844,DEBY0628,0,0,0,0
845,DEBY0630,0,0,0,0
846,DEBY0631,0,0,0,0
847,DEBY0632,0,0,0,0
848,DEBY0633,0,0,0,0
849,DEBY0635,0,0,0,0
850,DEBY0637,0,0,0,0
851,DEBY0641,0,0,0,0
852,DEBY0642,0,0,0,0
853,DEBY0643,0,0,0,0
854,DEBY0644,0,0,0,0
855,DEBY0645,0,0,0,0
856,DEBY0647,0,0,0,0
857,DEBY0648,0,0,0,0
858,DEBY0649,0,0,0,0
859,DEBY0651,0,0,0,14
860,DEBY0652,0,0,0,0
861,DEBY0653,0,0,0,0
862,DEBY0655,0,0,0,0
863,DEBY0657,0,0,0,0
864,DEBY0660,0,0,0,1
865,DEBY0662,0,0,0,0
866,DEBY0666,0,0,0,0
867,DEBY0667,0,0,0,0
868,DEBY0673,0,0,0,0
869,DEBY0675,0,0,0,0
870,DEBY0676,0,0,0,0
871,DEBY0677,0,0,0,0
872,DEBY0679,0,0,0,0
873,DEBY0680,0,0,0,3198
874,DEBY0681,0,0,0,1
875,DEBY0682,0,0,0,0
876,DEBY0687,0,0,0,0
877,DEBY0688,0,0,0,0
878,DEBY0689,0,0,0,0
879,DEBY0690,0,0,0,0
880,DEBY0691,0,0,0,0
881,DEBY0692,0,0,0,0
882,DEBY0693,0,0,0,0
883,DEBY0694,0,0,0,0
884,DEBY0695,0,0,0,0
