basin_id,gauge_id,gauge_name,gauge_country,gauge_provider,river,lon_snap,lat_snap,lon,lat,elevation,area_official,area_estreams,area_flag,area_rel,start_date,end_date,num_years,num_months,num_days,num_continuous_days,num_days_gaps,num_days_reliable,num_days_noflag,num_days_suspect,gauge_flag,duplicated_suspect,watershed_group,gauges_upstream,nested_catchments
FR002216,U202201001,U2022010,FR,FR_EAUFRANCE,Le Doubs à la Cluse-et-Mijoux [Pontarlier amont],6.36465,46.881341,6.36465,46.881341,840,353.0,354.447,0,-0.4099150141643067,1957-01-01,2023-09-30,67,801,24378,21610,1.0,24015.0,0.0,363.0,A,,27,15,"['CH000261', 'CH000262', 'CH000264', 'CH000265', 'CH000267', 'FR004538', 'FR004539', 'FR004540', 'FR004541', 'FR002210', 'FR002211', 'FR002212', 'FR002213', 'FR002214', 'FR002215', 'FR002216']"
CZ000212,195900,Obecnice,CZ,CZ_CHMU,Obecnický potok,13.9180202557539,49.7175688036719,13.9180202557539,49.7175688036719,,9.36,9.36,0,0.0,1981-11-01,2021-12-31,41,482,14671,14671,0.0,0.0,14671.0,0.0,B,,3,1,['CZ000212']
ES000022,1163,LEMONA (IBAIZABAL)                 ,ES,ES_CEDEX,,-2.75491211,43.21167918,-2.754912118837821,43.21167918795956,69,251.0,252.825,0,-0.7270916334661309,1970-10-01,2019-09-30,50,576,17500,7751,397.0,0.0,17500.0,0.0,B,,516,1,['ES000022']
FR002168,U012401001,U0124010,FR,FR_EAUFRANCE,Le Coney à Fontenoy-le-Château,6.194856,47.972644,6.194856,47.972644,252,317.0,315.634,0,0.4309148264984181,1987-01-01,2023-09-30,37,441,13422,13422,0.0,12333.0,32.0,1057.0,C,,27,2,"['FR004479', 'FR002168']"
GB000023,13008,South Esk at Brechin,GB,GB_NRFA,South Esk at Brechin,-2.66,56.73,-2.66,56.73,18,489.69,489.997,0,-0.0626927239682281,1983-01-01,2021-09-30,39,465,14153,14153,0.0,0.0,14153.0,0.0,B,,920,2,"['GB000020', 'GB000023']"
FR004671,V251501002,L'Oignin Ã  Maillat [Pontet],FR,FR_EAUFRANCE,L'Oignin à Maillat [Pontet],5.53903,46.134208,5.53903,46.134208,495,92.0,89.639,0,2.566304347826092,1986-01-01,2023-09-30,36,419,12692,5177,1095.0,12509.0,0.0,183.0,C,,27,2,"['FR002448', 'FR004671']"
CH000275,5020,Saint-Jeoire_[Pont_du_Risse],CH,CH_CAMELS,Le_Risse,6.48,46.14,6.48,46.14,542,64.7,64.67,0,0.0463678516228765,1981-01-01,2019-06-30,36,384,11420,5228,2640.0,0.0,11420.0,0.0,D,,27,1,['CH000275']
SE000134,2202,NOREKVARN,SE,SE_SMHI,VÄNNEÅN,13.4152,56.5382,13.4152,56.5382,,100.7,93.82,0,6.832174776564061,1977-12-10,2023-04-10,47,545,16558,16558,0.0,16459.0,0.0,99.0,A,,1909,1,['SE000134']
DENI1938,4545104,Oelkassen,DE,DE_NI,Weser,9.612098041976974,51.94409238483993,9.612098041976974,51.94409238483993,125.01,65.1,65.239,0,-0.2135176651305837,1961-02-01,2017-12-31,57,683,20787,20515,1.0,0.0,20787.0,0.0,B,,218,1,['DENI1938']
DENW1225,2822869000100,Reifferscheid,DE,DE_NW,Reifferscheider Bach,6.475205272368734,50.47471607659043,6.475205272368734,50.47471607659043,"416,53",48.95,48.502,0,0.915219611848826,1952-01-04,2019-12-10,68,816,24683,21944,130.0,0.0,24683.0,0.0,B,,13,1,['DENW1225']
FR004915,Y344402001,Le Vidourle Ã  Vic-le-Fesq,FR,FR_EAUFRANCE,Le Vidourle à Vic-le-Fesq,4.075321,43.871132,4.075321,43.871132,47,500.0,502.901,0,-0.580200000000002,1933-10-02,2023-06-25,91,866,23093,3748,9681.0,81.0,8.0,23004.0,E,,758,9,"['FR004914', 'FR004915', 'FR002918', 'FR002919', 'FR002920', 'FR002921', 'FR002922', 'FR002923', 'FR002924']"
DEBY0518,16518502,Freising,DE,DE_BY,Moosach,11.74482388146951,48.39745798212245,11.77815924254509,48.40809493315444,437.06,166.1,164.003,1,1.2624924744130093,1988-12-01,2023-08-19,36,375,10678,10258,2002.0,0.0,10678.0,0.0,D,,2,1,['DEBY0518']
ES000191,2092,SALIDA EMBALSE DEL AGUEDA          ,ES,ES_CEDEX,,-6.48484551,40.53533032,-6.484845511391244,40.53533032838134,607,900.0,810.533,0,9.940777777777775,1916-11-03,2019-09-30,75,830,24835,9679,12752.0,0.0,24835.0,0.0,E,,539,5,"['ES000189', 'ES000264', 'ES000265', 'ES000266', 'ES000191']"
DESH1499,114107,Süderrade,DE,DE_SH,Süderau,9.372349606472325,54.19855167204535,9.37234960647232,54.19855167204535,-5.017 m NHN,9.35,10.408,0,-11.315508021390372,1984-11-01,2023-01-05,40,456,13418,9197,527.0,0.0,13418.0,0.0,B,,135,1,['DESH1499']
ES000425,9115,PUENTE DE MONTAÑANA                ,ES,ES_CEDEX,,0.69453647,42.15029229,0.69453647092209,42.15029229309982,530,1068.0,1067.705,0,0.0276217228464487,1946-10-01,2019-09-30,59,639,19424,6210,7239.0,0.0,19424.0,0.0,E,,540,8,"['ES000425', 'ES000426', 'ES000427', 'ES000429', 'ES000440', 'ES000441', 'ES000446', 'ES000447']"
FR001732,O505501001,O5055010,FR,FR_EAUFRANCE,Le Serre à Coussergues [Resuenhe],2.872496,44.415704,2.872496,44.415704,580,110.0,108.997,0,0.911818181818182,1968-01-05,2023-09-30,56,669,20264,7087,94.0,19404.0,256.0,604.0,A,,541,4,"['FR001729', 'FR001730', 'FR001731', 'FR001732']"
FR002461,V293401001,V2934010,FR,FR_EAUFRANCE,L'Albarine à Saint-Denis-en-Bugey [Pont Saint Denis],5.33171,45.954757,5.33171,45.954757,239,288.0,289.42,0,-0.4930555555555611,1958-01-06,2023-09-30,66,786,23896,17440,113.0,23840.0,0.0,64.0,A,,27,3,"['FR004677', 'FR002460', 'FR002461']"
AT000491,211250,Hansenhuette,AT,AT_EHYD,Thoerlbach,15.25377684,47.47279951,15.25377684058284,47.4727995164284,542,324.2,340.171,0,-4.926280074028379,1951-01-01,2021-12-31,71,852,25933,25933,0.0,0.0,25933.0,0.0,B,,2,1,['AT000491']
GB000636,84005,Clyde at Blairston,GB,GB_NRFA,Clyde at Blairston,-4.070000000000001,55.8,-4.070000000000001,55.8,17.6,1699.36,1700.029,0,-0.0393677619809867,1958-10-01,2021-09-30,64,753,22836,14087,175.0,0.0,22836.0,0.0,B,,1177,6,"['GB000635', 'GB000638', 'GB000641', 'GB000644', 'GB000647', 'GB000636']"
DEBW0317,Jagstzell Jagst,Jagstzell Jagst,DE,DE_BW,,10.10043850251492,49.02988269232353,10.10043850251492,49.02988269232353,413.93,329.0,328.412,0,0.1787234042553259,1983-11-01,2023-10-10,41,480,14587,14216,2.0,0.0,14587.0,0.0,B,,1,3,"['DEBW0315', 'DEBW0316', 'DEBW0317']"
FR001944,P413501001,P4135010,FR,FR_EAUFRANCE,Le Coly à Condat-sur-Vézère [Pont de Bouch],1.257352,45.104216,1.257352,45.104216,98,167.0,197.548,2,-18.29221556886228,1966-01-01,2023-09-30,43,493,14938,5841,6154.0,13832.0,779.0,327.0,E,,541,2,"['FR001944', 'FR001945']"
FR004483,U045501001,La CombeautÃ© au Val-d'Ajol,FR,FR_EAUFRANCE,La Combeauté au Val-d'Ajol,6.479301,47.922958,6.479301,47.922958,349,63.0,63.149,0,-0.2365079365079379,1989-01-01,2023-09-30,35,404,12250,3844,441.0,9924.0,0.0,2326.0,C,,27,1,['FR004483']
