id	p_estreams_tq.evap_camels	p_t_estreams_q.evap_camels	pt_q_camels.evap_camels	ptq_camels.evap_camels	p_estreams_tq.evap_estreams	p_t_estreams_q.evap_estreams	pt_q_camels.evap_estreams	ptq_camels.evap_estreams
CH000164	0.919828124531704	0.930772919147639	0.923821299457666	0.930043200434693	0.924367735732501	0.933736448839769	0.927130326287447	0.932812563341623
CH000165	0.769500755960358	0.881056125425966	0.769591770021768	0.890129900353814	0.761125734911791	0.881286499374105	0.763018803342782	0.888298040480438
CH000166	0.815457348329788	0.894636576560419	0.815502657638643	0.901035632248477	0.793863214577858	0.896561311070102	0.79089202211339	0.904052811875264
CH000167	0.337061225202857	-0.340506587341565	0.331036212430086	-0.311564181582315	0.518251679404184	-0.109668819160155	0.505483146043924	-0.0944234623847235
CH000168	0.896417093044092	0.904759115874967	0.903252992420184	0.902880756028124	0.890198295229048	0.9020505279193	0.897379281230513	0.900095660209194
CH000169	0.904793923513358	0.950781493786713	0.904259889038883	0.954151883735988	0.903949820885085	0.949257898714827	0.901782299756657	0.95141201265965
CH000170	0.674208839802918	0.328420942896408	0.678531752032196	0.360590676827189	0.691101578468724	0.325471175597684	0.697226107045027	0.357694695572663
CH000171	0.797000349669478	0.858531390325793	0.804999938262352	0.858962205130855	0.796598504988895	0.858839464955759	0.804159344708664	0.86009396473313
CH000172	0.703947819321491	0.546384769583473	0.70088955375809	0.554541702663627	0.810274466244897	0.82442025260589	0.805715940891812	0.826253116229269
CH000173	0.668649402138402	0.859992030869305	0.653417282113471	0.86861791732787	0.654600032679986	0.858993708164083	0.642621454213655	0.864588611920573
CH000174	0.77528460940586	0.766473273430028	0.775042750758878	0.764916276766994	0.791505067932507	0.825774309229698	0.793657473911809	0.82559450145901
CH000176	0.764603957594118	0.894454366953538	0.761276636913879	0.90049605771773	0.750869971153169	0.898371848674602	0.748221923445769	0.903450693366048
CH000177	0.728350219342961	0.872214007185691	0.715128833706264	0.880371392000683	0.695023073686658	0.879388079113366	0.686780579351031	0.885076002466314
CH000181	0.669141026217113	0.792795968723545	0.671543013454198	0.793988168341291	0.66145909162609	0.776455992100727	0.660821357813104	0.773762772423614
CH000183	0.792700918023526	0.854315635096834	0.792908170332116	0.857109133367346	0.784604994903979	0.847143622479179	0.782125640014461	0.849387572336905
CH000187	0.902054675219152	0.935712521587928	0.890487926969772	0.930920123603911	0.903212311758179	0.933596418297485	0.897242757224085	0.934243627464066
CH000193	0.83696358103453	0.907670268011458	0.835258267216443	0.914599304918861	0.816068892177891	0.908870870949109	0.81592107061317	0.913832566653569
CH000194	0.611715073665554	0.865298235414104	0.611393596989769	0.876485857402497	0.615256550529872	0.863411486259244	0.608826700446472	0.875136339433548
CH000208	0.909165286335703	0.911110881492006	0.907164063196732	0.912043856085729	0.908381946840326	0.912062956824925	0.907195769700414	0.914735798308739
CH000230	0.892967465849275	0.892164619415854	0.891875247877667	0.893329548192678	0.898032873071879	0.892925977061479	0.898209163977084	0.892901638900204
CH000231	0.81885601925888	0.944375835404779	0.833934328012509	0.946536127384399	0.817428444739304	0.942337415243972	0.834585469482455	0.944309783797493
CH000232	0.879407858800068	0.886127318369851	0.881811115389292	0.879906455316917	0.877890074506603	0.883071332998736	0.877659790421136	0.87731988292605
CH000233	0.863324757358698	0.90770673137069	0.869404365332371	0.902953523847333	0.883462065346569	0.918317103008108	0.888140953473878	0.912555724221747
CH000234	0.894756112960957	0.898154180632277	0.895902796858378	0.900902101263812	0.895512035935082	0.90290231983181	0.897464487234683	0.902480494388839
CH000235	0.883116422793803	0.921114800946707	0.886432636842366	0.916409440439175	0.888097453421808	0.922124967608747	0.893705359585381	0.925522856484319
CH000236	0.689019712282235	0.612149589155498	0.662111912858985	0.612096175709679	0.78763073617861	0.754663773892024	0.788581029342008	0.750044775293999
CH000237	0.795791298800034	0.763345181466785	0.791098455497977	0.764933964037368	0.806068010829481	0.784421754076899	0.805985028502165	0.783610644296075
CH000238	0.754344042598915	0.727890211548748	0.752665238607322	0.728479031399788	0.803268466091102	0.800600671038633	0.804172777363414	0.797560735010662
CH000240	0.910607211212117	0.88905175834586	0.906274156476322	0.886511705446972	0.908254890878332	0.904952523100108	0.908518820445635	0.900769100150909
CH000241	0.868276517471756	0.843803406813016	0.867768611370046	0.843582682121425	0.867515038245518	0.860598986486144	0.865700125364553	0.862098099515368
CH000242	0.871380477500455	0.877868730487753	0.873084391139739	0.879450355168547	0.864130254563786	0.889758952086901	0.865044803135385	0.892297585847917
CH000243	0.900851729485135	0.913116453926448	0.901820256122721	0.912632775023713	0.892834909921907	0.918217875398264	0.89341666270306	0.918536512665186
CH000244	0.900845253916236	0.905110387302889	0.901785872960645	0.904344087922793	0.921084001944605	0.922077568916843	0.920688463487417	0.922081641793406
CH000245	0.918228961634358	0.922916468597281	0.917068959728614	0.922826596620213	0.926416954772738	0.927351682326093	0.926001380545148	0.927878858172248
CH000246	0.909819227399435	0.904314549314783	0.91229549749619	0.902306741040479	0.9124039026555	0.909719427973979	0.913599363155562	0.911303255326535
CH000247	0.788867925250624	0.824883716045682	0.782917260623127	0.828486909353127	0.813961122356681	0.841324436968546	0.8104534651588	0.846236938857962
CH000249	0.899921526567164	0.924313076287124	0.899463783653216	0.920237485162704	0.919073561178038	0.929184319038746	0.921280676433372	0.9247386952039
CH000250	0.907009109263101	0.904634502259008	0.905499079969416	0.904882825820753	0.915929065013711	0.910968758958227	0.914592785995781	0.91170793384368
CH000251	0.84581759920036	0.869089411057635	0.839885867222349	0.871773943911099	0.865761100783028	0.873266803815024	0.860584940153121	0.872891878601604
CH000252	0.905571473583444	0.898345493693243	0.906873742129095	0.898144073325818	0.907343990853946	0.904303431997811	0.910254774569182	0.900692000034318
CH000254	0.872189400873677	0.896333344733217	0.871881772498217	0.896448490873983	0.903315565254339	0.908688827356381	0.904385010565506	0.908019545340722
CH000255	0.893062283485586	0.903172786067147	0.899183946787623	0.894833489851561	0.893941715912831	0.901120147178023	0.899564164451171	0.893843119765348
CH000256	0.847664256188629	0.806516853005843	0.856056095138423	0.79979453442004	0.863910179925693	0.839875037250359	0.868219795563337	0.83452418427657
CH000258	0.853866402438739	0.71792623300631	0.852524485893502	0.714976164266683	0.869623164804313	0.816901108451332	0.870200442141815	0.817711277964256
CH000260	0.860028072160537	0.871974042631896	0.869315124467565	0.871142318911405	0.856521812517818	0.868660355001473	0.864331826161242	0.867175055161214
CH000264	0.874417675817839	0.775754203875838	0.874947451837323	0.775143698526232	0.887969302652081	0.821823397652369	0.88220548279399	0.817076106035399
CH000267	0.90608427361333	0.844513056309153	0.905115625122905	0.843851634874101	0.914449211484032	0.871551687630193	0.910292549107878	0.870999087673731
CH000269	0.848043955286119	0.698269522392164	0.848088578816492	0.701070439213641	0.895934392521589	0.792162973581559	0.895161656759129	0.789986473551718
CH000270	0.870176573893277	0.892817677954352	0.870439897314213	0.89147511209508	0.866764048413935	0.892851229081851	0.866875637759745	0.892903732443775
CH000272	0.784905440726311	0.740718505903561	0.785472620255616	0.738500389133199	0.783313882700635	0.768935890007673	0.786757691743462	0.768792562601235
CH000274	0.856691636724533	0.689653697070417	0.853311479481425	0.713124885543821	0.855510231623207	0.807747382597631	0.855009703388327	0.809851582718739
CH000275	0.867475134982766	0.8349346294235	0.870009397105866	0.831450273320353	0.867926798726292	0.838678886075484	0.868950576987887	0.836208392347145
CH000281	0.873125697215904	0.913995922905701	0.886823600621765	0.903800885250376	0.870920044944705	0.912644328043087	0.883473298372139	0.9007589062041
CH000285	0.862390401636335	0.784827195836104	0.858483901537921	0.784072496640121	0.886975236894027	0.85796530077232	0.885488850195576	0.860133541984853
CH000287	0.92455827035197	0.895062174374025	0.920889337287705	0.897544039537196	0.928293241698315	0.919840644270767	0.926373315097888	0.921686859413361
CZ000095	0.840156465722817	0.831455057872654	0.827664136223522	0.839356524000217	0.867639843810106	0.860301298210421	0.866211421490943	0.869737137739044
CZ000098	0.559835203694439	0.584019109409944	0.557123878041421	0.565491159257486	0.596411351941677	0.60944639351696	0.6120636321413	0.597956905628581
CZ000099	0.852613681926961	0.889027076458952	0.848508083851277	0.897620777989477	0.855099861915011	0.892774295717579	0.850432906837097	0.898543296550495
CZ000100	0.89201909335771	0.902040050644775	0.887975391360172	0.906064044140766	0.899888201286741	0.910596690531947	0.895160123964816	0.913614121898579
CZ000101	0.881474191858531	0.863891335886654	0.876263843550968	0.867468397505024	0.878673666755939	0.860042912296526	0.874682186070602	0.864142908805204
CZ000102	0.773320222962363	0.78734360871133	0.771475147741761	0.785621098808011	0.784453308266275	0.780556426816479	0.778319651623287	0.781386024136729
CZ000103	0.815065118267256	0.842275549365388	0.81110327812311	0.839906385666745	0.821386378582324	0.842576235983209	0.824621624250367	0.841235317828352
CZ000104	0.709829344937587	0.832112717185529	0.700026901818861	0.830449171958909	0.738599267211172	0.834730487874252	0.737165128242116	0.839757202938309
CZ000105	0.830421904927044	0.888133172373906	0.82547677393762	0.889817364646805	0.844892155217071	0.890328823625574	0.841416322961589	0.887525808094533
CZ000106	0.871162897845374	0.942824450454268	0.873665891139337	0.944302585773286	0.888706499828186	0.949495690585853	0.886969177972959	0.950918982910917
CZ000107	0.873209688150406	0.930790846303522	0.867272108667732	0.934109117252391	0.876594954100532	0.93840375658728	0.871392434029669	0.937883324954889
CZ000108	0.878853883612203	0.940727252549258	0.876747228156619	0.941735612415696	0.887786468176096	0.94329431325387	0.884758069979773	0.945804505522537
CZ000109	0.831613374370767	0.9039606704279	0.827137110743364	0.903076213538957	0.849280213948438	0.922668434141274	0.843683929937445	0.922695234739186
CZ000110	0.829920827883571	0.855612330074575	0.828120144003827	0.857809630134565	0.838022088936749	0.878127441043436	0.835109250483329	0.880168122268982
CZ000111	0.915840145555621	0.941847419878036	0.913700045054069	0.939586040294335	0.921301145644442	0.948956640701294	0.923906170721962	0.948777640565844
CZ000112	0.893807192362732	0.941740812071701	0.895159504853915	0.937887888379026	0.908715759058327	0.945343399422899	0.905182409183274	0.945865867997671
CZ000115	0.917492063376572	0.908505583730338	0.919096838147037	0.908655578845813	0.926360886682377	0.924521066514697	0.928234930366065	0.923512216241758
CZ000116	0.796148127385535	0.772922024644282	0.798378809731489	0.771507436600563	0.814202424847412	0.799974760541454	0.812502778972873	0.79716880179227
CZ000117	0.460585148711392	0.170530343689935	0.441245088651131	0.181634108950134	0.811698382641208	0.620868727132112	0.811507822955226	0.616365406569893
CZ000118	0.720966622900059	0.65253407388319	0.717879457230221	0.653611484128001	0.84912203093388	0.795461649415079	0.845572109224777	0.799585820234445
CZ000120	0.893986015198106	0.887541199676577	0.892794496168996	0.884061511200506	0.901324312475713	0.903412345411879	0.907203805264736	0.906674145947799
CZ000121	0.809314516739105	0.794560610501015	0.810408610080585	0.801406008881374	0.82053169052559	0.821668573884669	0.818869078981841	0.821828968516661
CZ000122	0.902969592533987	0.888368371323577	0.906307820560393	0.892154665074926	0.90942596547241	0.908910607330482	0.916294071615488	0.911018063964018
CZ000124	0.851746374326332	0.861792865558475	0.85353927809415	0.860188661465318	0.83631595838904	0.851671526782916	0.83798943485209	0.849300953839821
CZ000126	0.843561361486925	0.850466552020013	0.846026831996305	0.846911649397114	0.838004010657763	0.85468940109415	0.841697375245851	0.844875244846852
CZ000128	0.729008156987473	0.802892947064116	0.725762067476241	0.809288779487762	0.6813252417487	0.764598028017446	0.681595535741927	0.770515415000868
CZ000129	0.791961251014617	0.848122294331818	0.797184883359227	0.838782769782376	0.729527502282818	0.838886030501938	0.730775471627892	0.831548409421158
CZ000130	0.881604806820059	0.883466409371954	0.881065444983902	0.88591511421098	0.878363130308753	0.889193618556065	0.878504166414903	0.887667530865336
CZ000131	0.881677411019258	0.884466566926892	0.884370587609544	0.888904619576122	0.875106192345809	0.88612296854099	0.879375519588352	0.886241016085066
CZ000132	0.898198038872609	0.901078189679869	0.89852768209191	0.903736180538696	0.900757447347394	0.903156124043155	0.901214742929093	0.904759486462072
CZ000133	0.814431795097006	0.903574381614633	0.813502366977036	0.902598860009001	0.826464198667379	0.908893706450499	0.827617452071404	0.910258844129874
CZ000134	0.895275052291636	0.909066697117269	0.894007102277497	0.911638384458783	0.902991205688254	0.917625453220379	0.900253965364392	0.917575059612062
CZ000135	0.802473915397456	0.897877003122031	0.797586149943746	0.899695117093428	0.799319146458568	0.901235404469046	0.796635444319011	0.906475470247961
CZ000136	0.83291406715889	0.881708128400835	0.821107421713863	0.889588033101892	0.828694827099869	0.883758516068625	0.82056538337966	0.890493332077816
CZ000137	0.80036265056442	0.88975189679272	0.798457636588345	0.896681610892608	0.813039600941025	0.916966155372162	0.805702004220854	0.91872252629555
CZ000139	0.772259223336814	0.896006420766418	0.770096748554105	0.896174820639173	0.78404392405984	0.899296387881034	0.780986632243254	0.905317511507303
CZ000140	0.77632798899676	0.902851212080085	0.771721885094841	0.904454665727882	0.778251565498053	0.903430069709016	0.777588878671948	0.906885022217864
CZ000141	0.75896456367773	0.890652893130505	0.753863908735432	0.892332581115204	0.756943899323102	0.899636247945824	0.759035939003143	0.897531364437069
CZ000142	0.813752698897896	0.893690697015898	0.806622436210786	0.898876883237596	0.828867216435719	0.911410970161638	0.822435782041123	0.910036525321957
CZ000143	0.856504561555909	0.937692069464294	0.852133854997511	0.936502024165758	0.872460512416767	0.941813184055029	0.870676158287781	0.941109079164304
CZ000145	0.887574149798004	0.877892994791609	0.891230498192326	0.868002512644127	0.892555879515111	0.893442613967649	0.894738191402919	0.890832401462215
CZ000146	0.874848397368129	0.865686389816132	0.87244653115399	0.869378703026949	0.87912666468325	0.896857430734896	0.883008580880881	0.898298906185694
CZ000147	0.848425005042093	0.906210980808815	0.846741742166221	0.907162116600771	0.844174599316847	0.904109762724667	0.847285076099831	0.902155773575345
