id	P_sum_CAM	P_sum_Estr	rel_diff_P	T_mean_CAM	T_mean_Estr	T_diff	Epot_sum_CAM	Epot_sum_Estr	rel_diff_Epot
CH000171	1712.832	1562.976	-8.74901916825467	3.73995893223819	3.11635044490075	-0.62360848733744	614.9395	532.953	-13.3324497775798
CH000172	1274.7035	1215.8235	-4.61911338597565	8.14545242984257	8.51013004791239	0.364677618069816	589.369	767.932	30.297317979059
CH000173	1299.7575	1580.895	21.6299963647065	1.97124845995893	2.32398220396988	0.352733744010951	477.554	517.629	8.39172114567149
CH000174	1186.109	1066.069	-10.1204863971186	8.57180561259411	8.8262135523614	0.254407939767283	637.8165	801.005	25.5854936333569
CH000176	1635.674	1260.067	-22.9634389248713	6.90232991101985	6.86098699520876	-0.0413429158110885	619.295	712.608	15.0676172098919
CH000177	1797.6255	1312.0055	-27.0145255505109	6.79016700889802	7.75094592744695	0.960778918548939	582.1065	710.588	22.0718201909788
CH000181	1199.6745	1244.511	3.73738876670296	9.20047364818617	8.93337987679671	-0.26709377138946	532.032	777.008	46.0453506555997
CH000182	1945.813	1399.794	-28.061226849651	6.14626420260096	6.57747433264887	0.431210130047912	576.5995	670.6605	16.3130561160736
CH000183	1297.628	1156.645	-10.8646699978731	8.04310061601643	8.64073100616016	0.597630390143738	707.532	738.9045	4.43407506656944
CH000187	829.331	932.8275	12.4795166224342	0.947290896646133	1.32837371663244	0.381082819986311	481.792	528.8935	9.77631426009564
CH000193	1628.6165	1312.1505	-19.4315850293792	7.00685420944559	6.926765229295	-0.080088980150582	574.646	707.282	23.0813405122458
CH000194	1963.5895	1451.482	-26.0801710337115	5.70334565366188	5.82477481177276	0.121429158110883	635.664	644.8235	1.44093420423368
CH000208	1618.8005	1572.244	-2.87598749815062	9.1416167008898	8.81813004791239	-0.323486652977413	645.996	780.7675	20.8625904804364
CH000230	1662.952	1527.274	-8.15886447714667	8.09478302532512	8.11393839835729	0.0191553730321701	782.601	723.8995	-7.5008209802952
